Classifier,Accuracy,Precision,Recall,F1Score
KNN,0.818182,0.772727,0.818182,0.787879
ANN,0.727273,0.681818,0.727273,0.69697
Naive Bayes,0.727273,0.681818,0.727273,0.69697
