Classifier,Acc,F1Macro
"kNN (k=1, cosine)",0.9047619047619048,0.8953439153439153
"SVM (RBF, C=10)",0.8452380952380952,0.8432804232804232
"Random Forest (300 trees, depth=12)",0.7976190476190477,0.7870947570947568
Gaussian Naive Bayes,0.6904761904761905,0.6990476190476191
MLP,0.8214285714285714,0.8304761904761905
Logistic Regression,0.8095238095238095,0.8057671957671957
