Classifier,Acc,AccExclSingleton,F1Macro
"kNN (k=1, cosine)",0.5119047619047619,0.6935483870967742,0.30374218374218376
"SVM (RBF, C=10)",0.4523809523809524,0.6129032258064516,0.25839506172839505
"Random Forest (300 trees, depth=12)",0.36904761904761907,0.5,0.16438339438339436
Gradient Boosting (hist),0.44047619047619047,0.5967741935483871,0.21937630270963604
MLP,0.47619047619047616,0.6451612903225806,0.28042328042328046
Logistic Regression,0.5,0.6774193548387096,0.2912874779541446
